"id","mean_steps","mean_distance","mean_calories","mean_sleep_minute","total_mean_steps","user_type"
1503960366,12116.7419354839,7.80967738551478,1816.41935483871,360.28,12116.7419354839,"very active"
1644430081,7282.96666666667,5.29533335367839,2811.3,294,7282.96666666667,"lightly active"
1844505072,2580.06451612903,1.70612903684378,1573.48387096774,652,2580.06451612903,"sedentary"
1927972279,916.129032258065,0.634516123081408,2172.8064516129,417,916.129032258065,"sedentary"
2026352035,5566.87096774194,3.45483871525334,1540.64516129032,506.178571428571,5566.87096774194,"lightly active"
2320127002,4716.87096774194,3.18774190448946,1724.16129032258,61,4716.87096774194,"sedentary"
2347167796,9519.66666666667,6.355555535915,2043.44444444444,446.8,9519.66666666667,"fairly active"
3977333714,10984.5666666667,7.51699994405111,1513.66666666667,293.642857142857,10984.5666666667,"very active"
4020332650,2267.22580645161,1.62612903893234,2385.8064516129,349.375,2267.22580645161,"sedentary"
4319703577,7268.83870967742,4.8922580470361,2037.67741935484,476.653846153846,7268.83870967742,"lightly active"
4388161847,10813.935483871,8.39322589289757,3093.87096774194,400.173913043478,10813.935483871,"very active"
4445114986,4796.54838709677,3.24580644023034,2186.1935483871,385.178571428571,4796.54838709677,"sedentary"
4558609924,7685.12903225806,5.08064517667217,2033.25806451613,127.6,7685.12903225806,"fairly active"
4702921684,8572.06451612903,6.95516128309312,2965.54838709677,417.481481481481,8572.06451612903,"fairly active"
5553957443,8612.58064516129,5.63967744958016,1875.67741935484,463.483870967742,8612.58064516129,"fairly active"
5577150313,8304.43333333333,6.2133333047231,3359.63333333333,432,8304.43333333333,"fairly active"
6117666160,7046.71428571429,5.34214291402272,2261.14285714286,478.777777777778,7046.71428571429,"lightly active"
6775888955,2519.69230769231,1.81346151612413,2131.76923076923,349.666666666667,2519.69230769231,"sedentary"
6962181067,9794.8064516129,6.5858064774544,1982.03225806452,448,9794.8064516129,"fairly active"
7007744171,11323.4230769231,8.01538459154276,2544,68.5,11323.4230769231,"very active"
7086361926,9371.77419354839,6.38806450781563,2566.35483870968,453.125,9371.77419354839,"fairly active"
8053475328,14763.2903225806,11.4751611986468,2945.8064516129,297,14763.2903225806,"very active"
8378563200,8717.70967741935,6.91354846185253,3436.58064516129,445.129032258065,8717.70967741935,"fairly active"
8792009665,1853.72413793103,1.18655171682095,1962.31034482759,435.666666666667,1853.72413793103,"sedentary"
