"id","total_act","total_sleep","days_used","usage"
1503960366,34905,9007,31,"high use"
1644430081,41138,1176,30,"high use"
1844505072,41028,1956,31,"high use"
1927972279,42101,2085,31,"high use"
2026352035,29339,14173,31,"high use"
2320127002,44089,61,31,"high use"
2347167796,17527,6702,18,"moderate use"
3977333714,28874,8222,30,"high use"
4020332650,41067,2795,31,"high use"
4319703577,30395,12393,31,"high use"
4388161847,34396,9204,31,"high use"
4445114986,32468,10785,31,"high use"
4558609924,43483,638,31,"high use"
4702921684,32087,11272,31,"high use"
5553957443,28240,14368,31,"high use"
5577150313,30586,11232,30,"high use"
6117666160,30471,8618,28,"high use"
6775888955,35500,1049,26,"high use"
6962181067,29433,13888,31,"high use"
7007744171,35968,137,26,"high use"
7086361926,32929,10875,31,"high use"
8053475328,43205,891,31,"high use"
8378563200,29176,13799,31,"high use"
8792009665,33561,6535,29,"high use"
