"id","total_step"
1503960366,375619
1624580081,178061
1644430081,218489
1844505072,79982
1927972279,28400
2022484408,352490
2026352035,172573
2320127002,146223
2347167796,171354
2873212765,234229
3372868164,137233
3977333714,329537
4020332650,70284
4057192912,15352
4319703577,225334
4388161847,335232
4445114986,148693
4558609924,238239
4702921684,265734
5553957443,266990
5577150313,249133
6117666160,197308
6290855005,163837
6775888955,65512
6962181067,303639
7007744171,294409
7086361926,290525
8053475328,457662
8253242879,123161
8378563200,270249
8583815059,223154
8792009665,53758
8877689391,497241
